twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0177,Dbolina,69023599,,Dani Bolina,2413204,24594
ID0178,danimartinezweb,99792462,danimartinez.es,Dani Martínez,2428355,31334
ID0179,danisuzuki,46196327,danisuzuki.com.br,Dani Suzuki,2309613,9389
ID0180,DaniAlvesD2,142204481,danialves.com,Daniel Alves,9302026,8338
ID0181,WWEDanielBryan,179649115,,Daniel Bryan,429,2
ID0182,imdanielpadilla,328918379,,Daniel Padilla,9156692,3273
ID0183,danieltosh,25521487,danieltosh.com,daniel tosh,24273425,21
ID0184,DaniellePeazer,105296218,youtube.com,Danielle Peazer,2381238,23376
ID0185,DaniloGentili,14213711,danilogentili.com,Danilo Gentili,17143630,84621
ID0186,dannapaola,112057739,,Danna Paola,6279702,24218
ID0187,DannyDeVito,71876190,imdb.com,Danny DeVito,4262870,7433
ID0188,davidbisbal,57099808,davidbisbal.com,David Bisbal,9948896,19062
ID0189,D_Copperfield,53569692,davidcopperfield.com,David Copperfield,975905,12359
ID0190,D_DeGea,265982289,degea1.com,David De Gea,13850807,2563
ID0191,davidguetta,23976386,davidguetta.com,David Guetta,20211389,6287
ID0192,DavidHenrie,20620967,,David Henrie,2553966,10288
ID0193,DavidLuiz_4,344801362,,David Luiz,8755430,2429
ID0194,DAVID_LYNCH,15962096,davidlynch.com,David Lynch,3282851,919
ID0195,D_Ospina1,1471068170,,David Ospina,3291703,484
ID0196,21LVA,543533194,davidjimenezsilva.com,David Silva,4072559,1041
ID0197,DavidSpade,22657153,,David Spade,2800397,5240
ID0198,Guaje7Villa,426738834,davidvilla7.com,David Villa,8897123,2788
ID0199,DavidKWilliams,34717352,fishbowlinventory.com,DavidKWilliams,847839,27816
ID0200,ThisisDavina,44101412,thisisdavina.com,Davina McCall,2713530,45151
ID0201,deadmau5,22412376,live.deadmau5.com,deadmau5,3417943,43786
ID0202,dedesecco,136140018,,deborah secco,4377550,17740
ID0203,desta80s,45556398,id.m.wikipedia.org,Deddy Mahendra Desta,3111302,9756
ID0204,DeepakChopra,15588657,deepakchopra.com,Deepak Chopra,3207125,82185
ID0205,deepikapadukone,101695592,,Deepika Padukone,27608800,665
ID0206,DemetAkalin,150566311,demetakalin.com.tr,Demet Akalin Kurt,6766479,90730
ID1529,ddlovato,21111883,demilovato.com,Demi Lovato,54260759,17793
ID0208,justdemi,19554706,,Demi Moore,4436807,5480
ID0209,DENISE_RICHARDS,24523660,deniserichards.com,Denise Richards,2127152,14468
ID0210,DennyCagur,78223605,bit.ly,Denny Cagur,3088013,27603
ID0211,depechemode,26347170,depechemode.com,Depeche Mode,2180633,1357
ID0212,radioleary,176486829,johnnoel.com,Dermot O'Leary,2684458,18885
ID0213,drose,612792060,drosehoops.com,Derrick Rose,2525808,91
ID0214,DiegoForlan7,130122646,diegoforlan.com,Diego Forlan,5072282,1874
ID0215,diegotorres,87808186,diegotorres.com,Diego Torres,4445760,10466
ID0216,djkhaled,27673684,,DJ KHALED,5399848,96618
ID0217,DjKingAssassin,7.4415E+17,djkingassassin.com,DJ KING ASSASSIN,474121,137410
ID0218,DJPaulyD,94360081,DJPaulyD.com,DJ Pauly D,3684002,27911
ID0219,DollyParton,14790966,DollyPartonEntertainment.com,Dolly Parton,5443104,2780
ID0220,DONOMAR,154605679,donomar.com,DON OMAR aka KONG,5287348,45215
ID0221,DrBassemYoussef,,,Dr Bassem Youssef,,
ID0222,drdrew,14515734,drdrew.com,Dr Drew,2640546,16968
ID0223,ceracoat,77812872,ceracoat.me,Dr Elio Keller,807865,5405
ID0224,drangelocarbone,190774889,drangelocarbone.wordpress.com,Dr. Angelo Carbone,746231,111151
ID0225,drdre,28209292,drdre.com,Dr. Dre,3007518,169
ID0226,DrOz,38531995,doctoroz.com,Dr. Mehmet Oz,3871128,19794
ID0227,DrakeBell,46957344,drakebell.com,Drake Bell,4475316,3862
ID1530,Drake,27195114,octobersveryown.com,Drake,39471367,1796
ID0229,DulceMaria,79327591,dulcemaria.com.mx,Dulce Maria,7178120,33010
ID0230,DwyaneWade,33995409,dwyanewade.com,DWade,9632065,15020
ID1532,TheRock,250831586,,Dwayne Johnson,16065568,26045
ID0232,DwightHoward,16812787,dwighthoward.com,Dwight Howard,6379421,23529
ID0233,dylanobrien,281766200,imdb.com,Dylan O'Brien,6108420,1643
ID0234,Dynamomagician,29268463,,Dynamo,1992360,34896
ID0235,MagicJohnson,248900032,,Earvin Magic Johnson,5230095,12197
ID0236,edsheeran,85452649,,Ed Sheeran,17643447,23504
ID0237,eddieizzard,24447643,eddieizzard.com,Eddie Izzard,4357323,9330
ID0238,hazardeden10,366592246,,Eden hazard,7204811,1657
ID0239,elmorenomichael,183731193,elmorenomichael.tv,EL MORENO MICHAEL,1282921,44313
ID0240,EleanorJCalder,464139666,thetrendpear.com,Eleanor Calder,2784632,1723
ID0241,elissakh,278235826,elissalb.com,Elissa,15768824,62753
ID0242,LizGillies,36704352,youtube.com,Elizabeth Gillies,3390021,13848
ID1533,TheEllenShow,15846407,ellentube.com,Ellen DeGeneres,77595645,23819
ID0244,elliegoulding,20565284,elliegoulding.com,Ellie Goulding,6368723,18132
ID0245,elonmusk,44196397,,Elon Musk,82898543,17487
ID0246,Elovera22,,emiliolovera.com,Emilio Lovera,,
ID0247,EmilyOsment,21323673,emilyosmentofficial.com,Emily Osment,3109154,9243
ID0248,RobertsEmma,27678749,,Emma Roberts,3333582,7212
ID0249,EmWatson,,,Emma Watson,,
ID0250,emreaydin,69293780,emreaydin.org,Emre Aydın,3179733,5857
ID0251,itsenriquegil,183078358,,Enrique Gil,5501756,1608
ID0252,enrique305,,enriqueiglesias.com,Enrique Iglesias,,
ID0253,ErikaDLV,63263205,erikatipoweb.com,Erika de la Vega,4315899,21590
ID0254,ErinAndrews,120943272,erinandrews.com,Erin Andrews,2684000,23423
ID0255,eseryenenler,88910796,,Eser YENENLER,3605164,1780
ID0256,EspinozaOficial,146200269,espinozapaz.com,Espinoza Paz,3276215,9268
ID0257,chinasuarez,153619589,,Eugenia Suarez ♛,3963659,11372
ID0258,EugenioDerbez,46527223,eugenioderbez.tv,Eugenio Derbez,11450660,10434
ID0259,EvaLongoria,110827653,jcp.is,Eva Longoria,6865260,17780
ID0260,PochoLavezzi,351921957,elpocholavezzi.com,Ezequiel Lavezzi,5018080,3078
ID0261,Fabio_Coentrao,329789735,,Fabio Coentrao,2304840,132
ID0262,FabioPorchat,33804533,fabioporchat.com.br,Fabio Porchat,9110618,13724
ID0263,myfabolouslife,21278412,bloodsthicker.com,Fabolous,4149320,21570
ID0264,facufacundo,83297130,facundo.tv,Facundo,5216102,21717
ID0265,FannyLu,28641033,fannylu.com,Fanny Lu,2794890,11833
ID0266,TheFarahKhan,195703895,,Farah Khan,6948126,4150
ID0267,FarOutAkhtar,97865628,excelmovies.com,Farhan Akhtar,12672222,9338
ID0268,FarrukoPR,7.60192E+17,smarturl.it,Farruko,694,0
ID0269,FatinSL,967748192,fatinsl.com,Fatin Shidqia Lubis,3000187,10472
ID0270,FePaesLeme,50821343,,Fe Paes Leme,4385640,38093
ID0271,Fearnecotton,19818494,officialfearnecotton.com,Fearne Cotton,6739249,20806
ID0272,feliciaday,7861312,feliciaday.com,Felicia Day,2640122,40359
ID0273,andreolifelipe,34461692,felipeandreoli.net,Felipe Andreoli,3380662,29930
ID0274,felipeneto,14128609,youtube.com,Felipe Neto,14550030,15693
ID0275,Fergie,245992215,fergie.com,Fergie,3775675,4539
ID0276,alo_oficial,507672047,fernandoalonso.com,Fernando Alonso,3072137,8755
ID0277,Torres,394581283,fernando9torres.com,Fernando Torres,3637659,1537
ID0278,Ferrynimous,1.36884E+18,soundcloud.com,Ferry Yolanda F,2,0
ID0279,FifthHarmony,872374136,smarturl.it,Fifth Harmony,4581237,13361
ID0280,Fiuk,43132532,,Fiuk,5466392,28393
ID0281,official_flo,29547045,,FLO RIDA,4848883,24157
ID0282,Flordelav,105838056,WWW.FLORDELAVE.COM,Flor De La Ve,2853171,29332
ID0283,FloydMayweather,42519612,themoneyteam.com,Floyd Mayweather,7862935,7854
ID0284,Fonseca,45580261,fonseca.net,Fonseca,4113910,18389
ID0285,FrancoDVita,1.14924E+18,francodevita.com,Franco De Vita,28,15
ID0286,FreddyAmazin,,FREDDYAMAZIN.COM,FREDDY,,
ID0287,FrencHMonTanA,18653699,frenchmontanamusic.com,French Montana,3038140,32451
ID0288,IBGDRGN,637313893,,G-DRAGON,8610382,4802
ID0289,itsgabrielleu,256881576,,Gabrielle Union,4482207,29586
ID0290,gabyespino,92670884,gabyespino.com,gaby espino,5217901,36760
ID0291,gadelmaleh,498840131,gadelmaleh.com,Gad Elmaleh,7643836,5591
ID0292,gadiiing,71755580,,Gading Marten,4585383,55505
ID0293,GalileaMontijo,102729125,galileamontijo.tv,Galilea Montijo,7302844,22536
ID0294,GarethBale11,740336334,,Gareth Bale,18829242,1661
ID0295,GaryBarlow,386654472,garybarlow.com,Gary Barlow,4103819,18136
ID0296,GaryLineker,471287735,,Gary Lineker,8452602,44130
ID0297,GNev2,287834630,,Gary Neville,5147458,17801
ID0298,GaryValenciano1,135901326,garyv.com,GARY VALENCIANO,4075813,28669
ID0299,GemmaAnneStyles,112457675,gemmastyles.com,Gemma Styles,3891636,10441
ID0300,geneliad,92726549,,Genelia Deshmukh,5265975,8519
ID0301,ilovegeorgina,22096068,,Georgina Wilson,4073690,19020
ID0302,3gerardpique,224223563,,Gerard Piqué,20379985,3130
ID0303,germanpaoloski,117251043,,German Paoloski,3163050,29538
ID0304,OficialGio,574511063,oficialgio.com,Giovani Dos Santos,3398581,1679
ID0305,gio_antonelli,142448465,,Giovanna Antonelli,4176169,24361
ID0306,giseleofficial,55573873,giselebundchen.com,Gisele Bündchen,4614759,4716
ID0307,gisel_la,48562147,,Gisella Anastasia,2540202,15080
ID0308,GiulianaRancic,21681809,giulianarancic.com,Giuliana Rancic,2969983,19227
ID0309,GloriaTrevi,86119466,mundotrevi.com,GloriaTrevi,5041555,56597
ID0310,G_Higuain,205011496,,Gonzalo Higuaín,6493466,382
ID0311,GordonRamsay,110365072,gordonramsay.com,Gordon Ramsay,7569963,24347
ID0312,GreenDay,67995848,greenday.com,Green Day,4901137,2548
ID0313,greysonchance,144380789,greyson-official.com,Greyson Chance,2481686,10062
