youtubeid,Country,Channel_Name,Category,username,followers,Likes,Views,Views_Avg,Comments_Avg
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1053,US,elrubiusOMG,Action game,elrubiusOMG,40400000,814895443,7469679920,16593905,51426.46341
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1061,US,EminemMusic,Hip hop music,EminemMusic,52600000,45500762.85,23404734521,15251728.5,16781.02941
ID1069,US,EminemVEVO,Rock music,EminemVEVO,25000000,80282189.68,18613137086,52594474,41712.08
ID1069,US,EminemVEVO,Rock music,EminemVEVO,25000000,80282189.68,18613137086,52594474,41712.08
ID1071,US,enchufetv,Movies,enchufetv,26100000,71000735.22,9948293859,2002338,1965.66208
ID1071,US,enchufetv,Movies,enchufetv,26100000,71000735.22,9948293859,2002338,1965.66208
ID1073,IN,Eros Now,Entertainment,Eros Now,30700000,24201444.69,16411208086,46730,95.59818731
ID1073,IN,Eros Now,Entertainment,Eros Now,30700000,24201444.69,16411208086,46730,95.59818731
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID274,BR,Felipe Neto,Entertainment,Felipe Neto,44200000,763318297,15287605140,2639779.769,10482.12133
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
ID1083,SV,Fernanfloo,Action game,Fernanfloo,45100000,937427149.9,9934602477,30384570,148091.5714
